"case_date","category","danger category description","driver name","driver name A","crime ADSC","Traffic No","وجود البلاغات الجنائية"
"2024-01-16 04:38:22","غير مقلقة","medium","Juma Al Nuaimi","جمعة النعيمي","القيادة برخصة منتهية","    23946695","بلاغ جنائي"
"","","medium","Sunita Iyer","سونيتا آير","","    14579968","بدون البلاغات الجنائية"
"","","low","Rajesh Menon","راجيش مينون","","    41431810","بدون البلاغات الجنائية"
"","","medium","Salem Al Muhairi","سالم المهيري","","    59610978","بدون البلاغات الجنائية"
"","","low","Ali Haddad","علي حداد","","     6698738","بدون البلاغات الجنائية"
"2023-12-27 12:27:15","مقلقة","highly dangerous","Ibrahim Al Mazrouei","إبراهيم المزروعي","انتحال صفة","    29571106","بلاغ جنائي"
"2024-06-08 16:29:05","غير مقلقة","highly dangerous","Ibrahim Al Mazrouei","إبراهيم المزروعي","التلاعب في عداد المسافات","    29571106","بلاغ جنائي"
"","","highly dangerous","Sunil Silva","سونيل سيلفا","","    76833770","بدون البلاغات الجنائية"
"","","dangerous","Salem Abdelrahman","سالم عبدالرحمن","","    67875686","بدون البلاغات الجنائية"
"","","low","Ravi Verma","رافي فيرما","","    47083493","بدون البلاغات الجنائية"
"2023-06-10 15:13:43","غير مقلقة","highly dangerous","Prakash Limbu","براكاش ليمبو","السب والقذف","     4470876","بلاغ جنائي"
"2020-10-06 00:10:54","مقلقة","highly dangerous","Prakash Limbu","براكاش ليمبو","عرقلة سير العدالة","     4470876","بلاغ جنائي"
"2023-04-28 12:15:06","غير مقلقة","highly dangerous","Prakash Limbu","براكاش ليمبو","مخالفة اشتراطات النقل","     4470876","بلاغ جنائي"
"","","dangerous","Hassan Hassan","حسن حسن","","     5826620","بدون البلاغات الجنائية"
"2025-05-27 06:01:23","غير مقلقة","medium","Muhammad Raza","محمد رضا","إتلاف ممتلكات عامة","    67676139","بلاغ جنائي"
"2025-04-07 12:13:01","مقلقة","medium","Muhammad Raza","محمد رضا","الرشوة","    67676139","بلاغ جنائي"
"2025-02-08 11:16:01","غير مقلقة","medium","Muhammad Raza","محمد رضا","مخالفة قيود الإقامة","    67676139","بلاغ جنائي"
"2023-03-24 14:57:49","مقلقة","highly dangerous","Omar Awad","عمر عوض","التحرش","    80469656","بلاغ جنائي"
"2020-09-16 16:16:01","مقلقة","highly dangerous","Omar Awad","عمر عوض","الدخول للبلاد بطريقة غير مشروعة","    80469656","بلاغ جنائي"
"2019-10-01 23:23:13","غير مقلقة","highly dangerous","Zayed Mansour","زايد منصور","القيادة بدون رخصة قيادة","    72485143","بلاغ جنائي"
"2022-10-18 05:29:48","مقلقة","highly dangerous","Zayed Mansour","زايد منصور","الاعتداء بالضرب المفضي إلى إصابة","    72485143","بلاغ جنائي"
"2025-02-16 04:17:45","مقلقة","highly dangerous","Zayed Mansour","زايد منصور","الاعتداء بالضرب المفضي إلى إصابة","    72485143","بلاغ جنائي"
"2026-02-23 19:24:18","غير مقلقة","highly dangerous","Zayed Mansour","زايد منصور","التعدي على الأملاك الخاصة","    72485143","بلاغ جنائي"
"2024-09-22 08:17:22","مقلقة","highly dangerous","Zayed Mansour","زايد منصور","السرقة","    72485143","بلاغ جنائي"
"2025-05-03 10:44:52","غير مقلقة","highly dangerous","Zayed Mansour","زايد منصور","إصدار شيك بدون رصيد","    72485143","بلاغ جنائي"
"","","low","Youssef Al Nuaimi","يوسف النعيمي","","     2840077","بدون البلاغات الجنائية"
"","","low","Mohan Pillai","موهان بيلاي","","       52586","بدون البلاغات الجنائية"
"","","highly dangerous","Ahmed Al Rumaithi","أحمد الرميثي","","    13544411","بدون البلاغات الجنائية"
