"رقم الملف المروري","الاسم بالعربي","الجنسية","المركبات الغير منتهية","المركبات المنتهية","المهنة","الرقم الموحد","الدخول والخروج","تاريخ الدخول والخروج","السوابق","تحركات المركبات","عدد المركبات","لا توجد تحركات","عدد المركبات 222"
"    77283710","مزارع العين للنقل","الإمارات العربية المتحدة","           4","           4","مدير مشروع","    16286086","داخل","27APR25:00:00:00","توجد","           3","           8","           5","           8"
"       71412","دانيال ويليامز","الولايات المتحدة","           2","           1","بحار","    92863746","داخل","09APR24:00:00:00","لاتوجد","           2","           3","           1","           3"
"    70103718","الواحة للخدمات اللوجستية","الإمارات العربية المتحدة","           3","           5","رجل أعمال","    83875596","داخل الدولة","07OCT24:00:00:00","لاتوجد","           2","           8","           6","           8"
"      408467","أنيل راو","الهند","           9","           6","بائع","    54446812","خارج الدولة","08SEP25:00:00:00","لاتوجد","           7","          15","           8","          15"
"     2878082","مانوج مينون","الهند","           3","           4","عامل نظافة","    31625343","داخل الدولة","19APR25:00:00:00","لاتوجد","           3","           7","           4","           7"
"    40484737","إبراهيم الرميثي","الإمارات العربية المتحدة","           0","           1","رجل أعمال","    45841022","خارج","31JUL25:00:00:00","لاتوجد","           0","           1","           1","           1"
"     4652866","منصور المنصوري","الإمارات العربية المتحدة","           0","           2","مندوب مبيعات","    88210645","خارج الدولة","30APR26:00:00:00","لاتوجد","           1","           2","           1","           2"
"    28465638","نذرول رحمن","بنغلاديش","          10","           3","مدير مشروع","    18394292","داخل","12MAR26:00:00:00","لاتوجد","           3","          13","          10","          13"
"    17250021","الإمارات لتجارة مستحضرات التجميل","الإمارات العربية المتحدة","           0","           1","رجل أعمال","    83807285","خارج","08APR24:00:00:00","توجد","           1","           1","           0","           1"
"    38255346","نورة الظاهري","الإمارات العربية المتحدة","           2","           5","مهندس ميكانيكا","    32127945","خارج الدولة","10AUG24:00:00:00","توجد","           2","           7","           5","           7"
"       20741","ماجد عوض","السعودية","           5","           3","عامل نظافة","    71975587","داخل الدولة","13JUL26:00:00:00","لاتوجد","           3","           8","           5","           8"
"     2082693","سلطان الكعبي","الإمارات العربية المتحدة","           0","           1","سائق","    40156959","داخل","27APR26:00:00:00","لاتوجد","           0","           1","           1","           1"
"    47835482","إبراهيم منصور","اليمن","           4","           2","صياد","    95419105","خارج","21JAN24:00:00:00","توجد","           4","           6","           2","           6"
"     1108284","الوثبة للتجارة","الإمارات العربية المتحدة","           5","           5","مدير مشروع","    50425370","داخل الدولة","07OCT24:00:00:00","لاتوجد","           4","          10","           6","          10"
"      196397","حسن العلي","الإمارات العربية المتحدة","           0","           1","خياط","    37964904","داخل","15JAN25:00:00:00","لاتوجد","           1","           1","           0","           1"
"      242988","سامباث فرناندو","سريلانكا","           1","           4","أخصائي تسويق","    72228304","داخل الدولة","09AUG25:00:00:00","لاتوجد","           4","           5","           1","           5"
"     6861091","النابودة للنقل","الإمارات العربية المتحدة","          11","           9","تاجر","    36614213","خارج","17MAR25:00:00:00","لاتوجد","           8","          20","          12","          20"
"       63727","زايد نصار","مصر","           1","           1","مهندس مدني","    27969141","خارج","29JUL24:00:00:00","توجد","           1","           2","           1","           2"
"    71800270","هند محمود","سوريا","           2","           1","معلمة","    88562361","داخل الدولة","18AUG24:00:00:00","توجد","           2","           3","           1","           3"
"      586752","حصة خليل","مصر","           1","           2","مدير موارد بشرية","    33704251","داخل","12MAY26:00:00:00","توجد","           1","           3","           2","           3"
"      287959","رافي شاه","الهند","           5","           4","عامل نظافة","    59670015","خارج","28MAY25:00:00:00","لاتوجد","           5","           9","           4","           9"
"    85190409","كيران مينون","الهند","           1","           2","مذيع","    75881056","داخل","11APR26:00:00:00","لاتوجد","           1","           3","           2","           3"
"    99411618","ناصر منصور","الأردن","           6","           5","بحار","    16265305","داخل الدولة","11APR25:00:00:00","لاتوجد","           9","          11","           2","          11"
"      839454","أنيتا داس","الهند","           3","           1","محلل مالي","    76247567","داخل الدولة","30JAN24:00:00:00","توجد","           1","           4","           3","           4"
"    90736686","رامون أكينو","الفلبين","           3","           1","سائق","    69995480","داخل","03JUN25:00:00:00","لاتوجد","           1","           4","           3","           4"
"    24914837","حسين منصور","الأردن","           2","           1","طبيب","    21993572","خارج","12MAY25:00:00:00","لاتوجد","           2","           3","           1","           3"
"     9560745","فيجاي شارما","الهند","          16","          22","أخصائي مختبر","    16579601","داخل الدولة","28MAR25:00:00:00","توجد","          27","          38","          11","          38"
"    29417903","بيكرام راي","نيبال","           5","           6","نجار","    74317502","داخل","27JAN26:00:00:00","توجد","           8","          11","           3","          11"
"    98110603","منصور حداد","سوريا","           8","          13","مدير مشروع","    45803957","داخل الدولة","01APR25:00:00:00","لاتوجد","          12","          21","           9","          21"
"     2573513","جهانغير حسين","بنغلاديش","           0","           1","سائق","    65374783","داخل الدولة","14NOV24:00:00:00","متوفى","           0","           1","           1","           1"
"       79355","براكاش تامانغ","نيبال","          10","           6","مصمم","    21796412","داخل الدولة","19MAR26:00:00:00","لاتوجد","           7","          16","           9","          16"
"     3839602","عمران أحمد","باكستان","           2","           3","طالب","    29197436","داخل","26MAR24:00:00:00","لاتوجد","           3","           5","           2","           5"
"    73212696","أرون باتيل","الهند","           1","           1","صحفي","    47750616","داخل","03MAY25:00:00:00","لاتوجد","           1","           2","           1","           2"
"    86135550","ناصر حسن","لبنان","           3","           4","ضابط","    72697493","داخل الدولة","05JAN25:00:00:00","توجد","           5","           7","           2","           7"
"      227627","راجيش مينون","الهند","          55","          38","صياد","    26287022","داخل","09MAY25:00:00:00","لاتوجد","          25","          93","          68","          93"
"      785231","طارق فهمي","مصر","           2","           2","أخصائي تسويق","    19536246","خارج الدولة","25MAY26:00:00:00","لاتوجد","           2","           4","           2","           4"
"     5463907","شاهين رحمن","بنغلاديش","           3","           1","محامي","    82291087","داخل الدولة","01JAN26:00:00:00","لاتوجد","           3","           4","           1","           4"
"    23946695","جمعة النعيمي","الإمارات العربية المتحدة","           1","           1","عامل توصيل","    88849872","خارج","18JUN25:00:00:00","توجد","           1","           2","           1","           2"
"    14579968","سونيتا آير","الهند","          18","          11","سكرتير","    99747366","داخل الدولة","30AUG25:00:00:00","لاتوجد","          18","          29","          11","          29"
"    41431810","راجيش مينون","الهند","           9","           9","مهندس ميكانيكا","    64972920","خارج الدولة","26JAN26:00:00:00","متوفى","          14","          18","           4","          18"
"    59610978","سالم المهيري","الإمارات العربية المتحدة","           5","           6","تاجر","    53666768","داخل الدولة","25MAY26:00:00:00","متوفى","           2","          11","           9","          11"
"     6698738","علي حداد","الأردن","           3","           4","مزارع","    49740707","خارج","15JAN25:00:00:00","لاتوجد","           2","           7","           5","           7"
"    29571106","إبراهيم المزروعي","الإمارات العربية المتحدة","           3","           5","محلل مالي","    86885722","خارج الدولة","10DEC25:00:00:00","توجد","           2","           8","           6","           8"
"    76833770","سونيل سيلفا","سريلانكا","           4","           5","مهندس كهرباء","    53793189","داخل","07DEC24:00:00:00","لاتوجد","           3","           9","           6","           9"
"    67875686","سالم عبدالرحمن","سوريا","           3","           3","مدير","    60474272","داخل الدولة","27APR25:00:00:00","لاتوجد","           2","           6","           4","           6"
"    47083493","رافي فيرما","الهند","           1","           2","طبيب أسنان","    84589854","خارج","02APR25:00:00:00","لاتوجد","           1","           3","           2","           3"
"     4470876","براكاش ليمبو","نيبال","           3","           4","رجل أعمال","    76458751","خارج","23OCT25:00:00:00","توجد","           2","           7","           5","           7"
"     5826620","حسن حسن","سوريا","           1","           5","محلل مالي","    17278570","خارج","04MAY24:00:00:00","لاتوجد","           3","           6","           3","           6"
"    67676139","محمد رضا","باكستان","           1","           1","مهندس ميكانيكا","    23880884","خارج الدولة","25MAR24:00:00:00","توجد","           1","           2","           1","           2"
"    80469656","عمر عوض","الأردن","           0","           1","طبيب أسنان","    39636033","خارج","28JUN25:00:00:00","توجد","           1","           1","           0","           1"
"    72485143","زايد منصور","سوريا","           4","           6","بحار","    81235424","داخل الدولة","21NOV24:00:00:00","توجد","           3","          10","           7","          10"
"     2840077","يوسف النعيمي","الإمارات العربية المتحدة","           2","           0","خياط","    77556893","خارج الدولة","12JUN26:00:00:00","لاتوجد","           1","           2","           1","           2"
"       52586","موهان بيلاي","الهند","           4","           1","أمين مخزن","    84564830","داخل","06MAR25:00:00:00","لاتوجد","           2","           5","           3","           5"
"    13544411","أحمد الرميثي","الإمارات العربية المتحدة","           9","           6","معلم","    72728884","داخل","28SEP25:00:00:00","لاتوجد","          10","          15","           5","          15"
"      230180","رامون سانتوس","الفلبين","           9","           9","عامل نظافة","    55484691","داخل","23FEB26:00:00:00","توجد","          12","          18","           6","          18"
"      353085","عمر البلوشي","الإمارات العربية المتحدة","           6","           5","مضيف طيران","    24598902","خارج الدولة","29DEC25:00:00:00","لاتوجد","           5","          11","           6","          11"
"      536828","الخدمات السريعة للتوصيل","الإمارات العربية المتحدة","          16","          17","تاجر","    69906665","خارج","11FEB26:00:00:00","لاتوجد","           7","          33","          26","          33"
"     9355000","محمود حسن","اليمن","           8","           4","مترجم","    77473622","داخل","28JUN25:00:00:00","لاتوجد","           4","          12","           8","          12"
"    90922093","ديبا شاه","الهند","           0","           1","مزارع","    17163112","داخل","07MAR25:00:00:00","توجد","           1","           1","           0","           1"
"     8213006","الفطيم للخدمات اللوجستية","الإمارات العربية المتحدة","           5","           8","مقاول","    18075704","خارج","14DEC24:00:00:00","توجد","          10","          13","           3","          13"
"    79338657","ماجد صالح","سوريا","           0","           1","سائق أجرة","    50967705","داخل الدولة","24MAR26:00:00:00","توجد","           0","           1","           1","           1"
"    43334679","آن ميندوزا","الفلبين","          22","          15","سباك","    43646602","خارج","18MAY24:00:00:00","لاتوجد","          11","          37","          26","          37"
"    30782867","أنجيلو سانتوس","الفلبين","           1","           0","مقاول","    73190430","داخل الدولة","27MAY25:00:00:00","لاتوجد","           1","           1","           0","           1"
"      608688","فاروق علي","بنغلاديش","           2","           5","بحار","    20988031","خارج الدولة","09JUL26:00:00:00","لاتوجد","           2","           7","           5","           7"
"     7419135","ليلى درويش","اليمن","          21","          13","مهندس","    30922399","خارج الدولة","23DEC25:00:00:00","توجد","          26","          34","           8","          34"
"      400492","بلال قريشي","باكستان","           2","           3","طاهي","    99200551","داخل الدولة","09JAN26:00:00:00","لاتوجد","           2","           5","           3","           5"
"    96803721","نيها فيرما","الهند","           0","           1","مهندس ميكانيكا","    72832296","داخل","22APR24:00:00:00","لاتوجد","           1","           1","           0","           1"
"    55360987","راجيش بيلاي","الهند","           1","           0","خياط","    90111871","داخل الدولة","04JAN26:00:00:00","متوفى","           0","           1","           1","           1"
"    79855314","حمدان حداد","مصر","           0","           1","مهندس كهرباء","    51396033","داخل","18JAN26:00:00:00","توجد","           0","           1","           1","           1"
"    30970460","زيشان رضا","باكستان","           1","           0","عامل توصيل","    83697889","داخل الدولة","10DEC24:00:00:00","توجد","           0","           1","           1","           1"
"    97946559","شاهين علي","بنغلاديش","           8","           9","نجار","    95818314","داخل الدولة","19MAY25:00:00:00","لاتوجد","           9","          17","           8","          17"
"    15580789","محمد فهمي","مصر","           4","           8","مزارع","    73954435","خارج","31AUG25:00:00:00","لاتوجد","           7","          12","           5","          12"
"    69444315","ديباك ناير","الهند","           2","           0","حداد","    95561013","داخل الدولة","22JAN26:00:00:00","متوفى","           1","           2","           1","           2"
"    32798764","ريخا شارما","الهند","           0","           3","خياط","    35488417","خارج الدولة","05JAN24:00:00:00","توجد","           1","           3","           2","           3"
"      353956","فهد العلي","الإمارات العربية المتحدة","           4","           9","محلل مالي","    58125048","داخل الدولة","28JUN25:00:00:00","لاتوجد","          10","          13","           3","          13"
"    78769289","نذرول شودري","بنغلاديش","           6","           0","حلاق","    78903031","خارج","12JAN26:00:00:00","لاتوجد","           2","           6","           4","           6"
"      580488","تشاميندا بيريرا","سريلانكا","           4","           0","سائق شاحنة","    61870936","داخل","30DEC25:00:00:00","لاتوجد","           2","           4","           2","           4"
"    94653342","الخدمات السريعة للتوصيل","الإمارات العربية المتحدة","           2","           5","مقاول","    50908561","داخل الدولة","16MAY26:00:00:00","لاتوجد","           2","           7","           5","           7"
"    64482523","راجيش بيلاي","الهند","           1","           0","مستشار","    46887046","خارج الدولة","22JUL24:00:00:00","توجد","           0","           1","           1","           1"
"    26303699","براكاش تامانغ","نيبال","           7","           9","خياط","    70954895","داخل الدولة","07JUN26:00:00:00","لاتوجد","           4","          16","          12","          16"
